服务月数tenure,年龄age,婚姻状况marital,地址居住年数address,家庭收入income,受教育水平ed,现职位工作年数employ,是否退休retire,性别gender,家庭人数reside,免费电话服务tollfree,设备租赁equip,电话卡服务callcard,无线服务wireless,上月长途longmon,上月免费电话tollmon,上月设备equipmon,上月电话卡cardmon,上月无线wiremon,多线路multline,语音邮件voice,寻呼服务pager,互联网internet,来电显示callid,呼叫等待callwait,呼叫转移forward,是否支持电话会议confer,是否支持电子凭证ebill,客户类别custcat,是否流失churn
9,NA,未婚,7,30,未完成中学学历,4,是,女,6,否,否,否,否,4.2,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
55,57,已婚,25,NA,中学学历,12,是,男,3,否,否,是,否,14.6,0,0,29.5,0,否,否,否,否,否,否,否,否,否,基础服务,否
34,30,未婚,3,35,中学学历,2,是,女,3,是,否,是,否,9.05,21.5,0,8,0,否,是,否,否,是,是,是,是,是,附加服务,否
10,23,未婚,4,36,中学学历,1,是,男,3,是,否,是,否,8.55,14.75,0,22,0,否,否,否,否,是,是,是,是,否,附加服务,否
62,76,未婚,20,35,社区学院,NA,NA,女,1,否,否,是,否,17.25,0,0,17.75,0,是,否,否,否,是,否,否,否,是,电子服务,否
51,36,未婚,13,62,社区学院,NA,NA,男,2,是,否,是,是,5.65,36.25,0,19.75,40.4,是,是,是,是,是,是,是,是,否,总服务,否
65,48,未婚,28,94,未完成中学学历,25,是,男,1,否,否,是,否,10.4,0,0,22.5,0,是,否,否,否,否,否,否,否,否,电子服务,否
53,33,未婚,NA,60,未完成中学学历,6,是,男,NA,是,否,是,是,17.65,28.5,0,41,28.55,否,是,是,否,是,是,是,是,否,总服务,否
23,35,未婚,4,118,中学学历,11,是,男,1,否,是,否,否,7.9,0,30.15,0,0,否,是,否,是,否,否,否,否,是,基础服务,是
1,30,未婚,3,135,大学学位,3,是,NA,NA,是,是,是,否,1.1,5.75,22.8,2.75,0,否,否,否,是,是,否,否,否,是,基础服务,是
66,55,未婚,20,NA,中学学历,24,是,女,1,是,否,是,否,14,30.75,0,14.75,0,是,否,否,否,是,是,是,是,否,附加服务,否
NA,27,已婚,0,21,社区学院,NA,NA,女,2,否,是,否,否,3.65,0,36.45,0,0,是,否,否,是,否,否,否,否,是,电子服务,否
18,28,已婚,3,22,未完成中学学历,2,是,女,5,否,否,是,否,3.15,173,0,9.5,0,否,否,否,否,否,否,否,否,否,基础服务,否
36,32,NA,3,63,大学学位,7,是,男,4,否,是,是,否,6.2,0,29.55,12.75,0,是,否,否,是,否,否,否,是,否,电子服务,否
13,40,未婚,16,142,中学学历,18,是,女,1,否,否,否,否,8.45,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
4,44,未婚,NA,32,社区学院,0,是,NA,1,是,是,是,否,2.1,13.75,25.95,8.75,0,否,是,否,是,是,否,是,是,否,附加服务,是
20,32,未婚,NA,19,社区学院,5,是,NA,1,否,是,否,否,6.85,0,36.05,0,0,是,否,否,是,否,否,否,否,是,电子服务,否
66,39,已婚,NA,60,大学学位,10,是,男,3,是,是,是,是,20.15,39.25,46.3,17.25,36.4,是,是,是,是,是,是,是,是,是,总服务,否
67,47,已婚,7,97,未完成中学学历,23,是,男,4,否,否,是,否,22.4,0,0,18.5,0,否,否,否,否,是,是,是,是,否,附加服务,否
11,24,已婚,0,31,中学学历,NA,NA,女,4,是,是,是,是,5.4,16,39.2,13.75,33.55,否,是,是,是,是,是,是,否,是,总服务,是
6,26,NA,7,30,社区学院,1,是,女,2,否,是,否,否,6.35,0,19.75,0,0,否,否,否,是,否,否,否,否,否,基础服务,是
13,23,已婚,4,31,未完成中学学历,5,是,女,4,否,是,否,是,4.6,0,35.45,0,27.7,否,是,是,是,否,否,否,否,是,基础服务,否
2,29,已婚,3,44,中学学历,9,是,女,6,是,是,是,是,2.1,16.25,43.2,12.25,33.6,是,是,是,是,是,是,是,是,是,总服务,是
4,40,未婚,12,38,中学学历,5,是,男,1,否,否,是,否,8.15,0,0,12,0,否,否,否,否,否,否,否,否,否,基础服务,否
34,63,已婚,NA,NA,中学学历,0,是,女,2,是,是,是,是,14.3,19.5,39.6,15.25,28.95,是,是,是,是,是,是,是,是,是,总服务,否
13,34,NA,6,37,NA,6,是,男,4,否,否,否,否,6.85,0,0,0,0,否,否,否,否,否,是,否,是,否,附加服务,否
37,40,已婚,NA,26,中学学历,0,是,男,5,否,否,是,否,18.9,0,0,12,0,是,否,否,否,否,否,否,否,是,电子服务,否
45,30,已婚,NA,38,中学学历,5,是,男,6,否,否,是,否,12.75,0,0,23.75,0,是,否,否,否,否,是,是,是,否,附加服务,否
71,70,未婚,NA,153,社区学院,34,否,女,NA,是,否,是,是,30.55,46.25,0,26.25,46.7,是,否,否,否,是,是,是,是,否,附加服务,否
35,40,未婚,5,49,未完成中学学历,20,是,女,1,否,否,否,否,3.4,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
NA,41,未婚,21,51,社区学院,7,是,男,1,否,是,是,否,4.95,0,31.55,10.75,0,否,否,否,是,否,否,否,否,是,基础服务,否
44,45,已婚,19,88,未完成中学学历,21,是,男,2,是,否,是,否,11.9,25.25,0,8.25,0,是,否,否,否,是,是,是,是,否,附加服务,否
NA,41,已婚,20,19,未完成中学学历,0,是,女,6,否,否,否,否,5.45,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
42,46,已婚,9,31,未完成中学学历,NA,NA,女,3,否,否,是,否,5.9,0,0,23,0,否,否,否,否,否,否,否,是,否,基础服务,否
41,47,已婚,NA,90,中学学历,19,是,男,3,否,是,是,否,6.7,0,20.2,31.25,0,否,否,否,是,否,否,否,否,否,基础服务,是
31,24,已婚,3,14,未完成中学学历,0,是,男,4,否,否,否,否,7.2,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
62,63,未婚,NA,NA,中学学历,30,是,男,1,否,否,是,否,14.6,0,0,14.25,0,否,是,否,是,是,是,否,是,否,附加服务,是
12,23,已婚,2,24,大学学位,NA,是,女,8,是,否,是,是,3.2,41,0,15.75,35.4,否,是,是,是,是,是,是,是,否,总服务,否
45,49,已婚,27,81,中学学历,7,是,女,4,是,否,是,否,13.85,50.5,0,21,0,否,否,否,否,是,是,是,是,否,附加服务,否
47,34,已婚,4,63,中学学历,13,是,女,4,否,否,是,否,18.95,0,0,30.5,0,否,否,否,否,否,否,否,否,否,基础服务,否
23,22,已婚,NA,NA,未完成中学学历,4,是,男,5,是,否,是,否,7.9,23,0,15.75,0,是,否,否,否,是,是,是,否,否,附加服务,否
39,34,未婚,4,20,研究生学位,3,是,女,1,是,是,是,是,9.55,21.25,59.2,10,79.2,是,是,是,是,是,是,是,是,是,总服务,否
19,26,未婚,2,48,社区学院,0,是,男,2,否,否,是,否,7.55,0,0,6.5,0,否,是,否,否,是,是,是,否,否,附加服务,否
13,54,未婚,NA,121,大学学位,23,是,男,1,否,否,否,否,7.3,0,0,0,0,否,否,否,否,是,否,是,是,否,附加服务,否
5,33,NA,NA,39,社区学院,NA,是,男,NA,是,是,否,否,2.1,19.5,27.45,0,0,是,否,是,否,是,是,是,是,是,总服务,是
11,19,未婚,NA,NA,中学学历,0,是,男,1,否,否,否,否,3.6,0,0,0,0,否,否,否,否,否,否,否,否,是,基础服务,是
4,32,未婚,2,53,大学学位,5,是,NA,1,是,是,否,否,7,11,26.25,0,0,否,否,是,否,否,否,否,否,是,基础服务,是
17,42,未婚,8,58,未完成中学学历,23,是,男,1,否,是,否,否,5.05,0,28.65,0,0,是,是,否,是,否,是,否,否,否,电子服务,是
7,27,NA,3,39,社区学院,2,是,男,1,否,否,否,否,3.55,0,0,0,0,否,否,否,否,否,否,是,否,否,基础服务,是
19,65,未婚,3,108,未完成中学学历,33,是,男,3,是,否,是,否,5.95,21.5,0,11.25,0,否,否,否,否,是,是,是,是,否,附加服务,否
32,34,已婚,0,38,未完成中学学历,10,是,男,4,否,否,是,否,7.35,0,0,19.25,0,是,否,否,否,否,否,否,否,是,电子服务,否
53,51,未婚,31,245,大学学位,0,是,男,1,是,否,是,否,18.45,28.25,0,11,0,是,否,否,否,否,否,否,是,否,电子服务,否
51,38,未婚,19,51,未完成中学学历,18,是,女,1,是,否,是,否,11.7,26,0,23.25,0,否,是,否,否,是,是,是,是,否,附加服务,否
35,34,未婚,7,78,大学学位,10,是,女,1,否,否,是,否,13.9,0,0,4.5,0,否,否,否,否,否,否,否,否,否,基础服务,否
3,31,已婚,4,23,大学学位,4,是,男,5,是,是,是,是,2.8,16.5,36,37.75,21.7,否,是,是,否,是,是,是,是,是,总服务,是
22,48,未婚,7,88,大学学位,NA,NA,男,1,否,是,否,否,4.5,0,31.85,0,0,否,否,否,是,否,否,否,否,否,基础服务,是
17,21,已婚,0,25,中学学历,1,是,女,3,否,否,否,否,6.1,0,0,0,0,是,否,否,否,是,否,是,是,是,附加服务,否
68,39,未婚,20,73,中学学历,NA,是,女,1,是,否,是,否,44.95,15.75,0,20,0,是,否,否,否,否,否,否,否,否,电子服务,否
NA,41,NA,7,62,大学学位,NA,是,女,2,是,否,是,否,13.7,16.25,0,6.75,0,否,否,否,否,是,否,否,是,否,附加服务,否
68,52,已婚,8,456,社区学院,30,是,女,4,是,否,是,是,22.25,27.5,0,26.75,29.75,是,否,否,否,是,是,是,是,否,附加服务,否
56,42,已婚,10,24,中学学历,5,是,男,2,否,否,否,否,33.65,0,0,0,0,否,否,否,否,是,是,是,是,否,附加服务,否
11,32,未婚,8,23,中学学历,0,是,女,1,否,是,是,否,6.2,0,28.4,7.25,0,否,否,否,是,否,否,否,否,是,基础服务,否
5,47,未婚,7,46,未完成中学学历,6,是,NA,1,否,否,是,否,2.95,0,0,7.25,0,否,否,否,否,是,否,是,否,否,基础服务,是
16,50,未婚,5,263,中学学历,29,是,女,3,是,是,否,是,3.75,17,31.95,0,21.9,否,否,否,否,是,是,是,是,是,附加服务,否
59,30,未婚,2,NA,大学学位,2,是,女,1,否,是,是,否,16.7,0,32.25,11.75,0,是,是,否,否,否,否,否,否,否,电子服务,否
60,64,未婚,14,33,中学学历,13,否,男,1,是,否,是,是,30.75,22.25,0,12.25,47.4,是,是,是,否,是,是,是,是,是,总服务,否
55,47,未婚,11,37,未完成中学学历,11,是,男,1,是,否,是,否,14.75,20.25,0,10.75,0,否,否,否,否,是,否,否,是,否,附加服务,否
18,56,未婚,22,296,中学学历,25,是,男,1,否,否,是,否,3.4,0,0,8.25,0,否,否,否,否,是,否,否,否,否,基础服务,否
16,22,未婚,NA,26,社区学院,0,是,女,3,否,是,否,否,4.1,0,29.35,0,0,是,否,否,否,否,否,否,否,是,电子服务,是
35,57,已婚,NA,47,大学学位,12,是,男,2,否,是,是,否,7.25,0,33.7,18.75,0,是,否,否,是,否,否,否,否,否,电子服务,否
31,NA,已婚,1,31,社区学院,1,是,女,2,是,是,是,是,16.6,19,58.7,16.5,51.35,否,是,是,是,是,是,是,是,是,总服务,是
20,49,已婚,5,264,中学学历,29,是,女,2,否,否,否,否,9.6,0,0,0,0,否,否,否,否,否,是,否,否,否,基础服务,否
16,27,未婚,5,41,大学学位,2,是,女,1,是,是,是,是,6.9,15.75,42.75,17.25,30.95,否,是,是,是,是,是,是,是,是,总服务,是
69,48,已婚,27,55,中学学历,NA,NA,男,2,是,是,是,否,19.6,35.75,34.25,62,0,是,否,否,否,否,是,是,否,否,附加服务,否
69,66,已婚,NA,NA,中学学历,15,是,NA,2,是,否,是,否,23.1,29.25,0,25.5,0,否,否,否,否,否,否,否,否,否,基础服务,否
27,24,已婚,NA,26,未完成中学学历,7,是,女,4,否,否,否,否,6.05,0,0,0,0,否,否,是,否,否,否,否,否,否,基础服务,是
48,39,未婚,NA,110,大学学位,9,是,男,1,是,否,是,是,18.05,30.25,0,8.75,30.4,是,否,是,否,是,是,是,是,否,附加服务,否
18,52,已婚,20,66,未完成中学学历,19,是,女,2,是,否,是,否,12.8,27.75,0,10.5,0,否,否,否,是,否,否,是,否,否,基础服务,否
24,40,已婚,4,39,社区学院,5,是,女,2,是,否,是,是,4.05,25.75,0,27.5,22.5,否,否,是,否,是,是,是,是,否,附加服务,否
17,42,未婚,6,31,中学学历,2,是,男,1,是,否,否,是,8.25,24.5,0,0,26.4,是,是,否,否,是,是,否,是,是,总服务,是
9,24,已婚,3,26,大学学位,1,是,女,3,否,是,否,否,7.65,0,23.25,0,0,否,否,否,否,否,否,是,否,否,基础服务,否
15,46,未婚,5,232,大学学位,15,是,女,2,是,是,是,是,4.3,23,45.15,22.75,31.3,否,是,是,是,是,是,是,是,是,总服务,是
62,37,NA,10,43,大学学位,1,是,女,3,否,是,是,否,9.2,0,37.2,18.75,0,是,否,否,否,是,否,否,否,否,电子服务,否
9,41,未婚,12,39,大学学位,3,是,男,1,否,是,否,是,4.7,0,39.65,0,20.8,否,是,是,是,否,否,否,否,是,基础服务,是
71,41,已婚,NA,73,NA,23,是,女,2,否,否,是,否,32.65,0,0,41.75,0,是,否,否,否,是,是,是,否,否,附加服务,否
62,59,已婚,37,NA,未完成中学学历,NA,NA,男,2,是,否,是,否,16.1,36,0,11,0,否,否,否,否,是,是,是,是,否,附加服务,否
NA,38,未婚,19,237,大学学位,13,是,男,1,是,是,是,是,6,21.25,34.4,9.75,26.9,否,否,是,是,是,是,是,否,否,总服务,否
19,33,已婚,11,22,未完成中学学历,3,是,男,5,否,否,是,否,3.95,0,0,36.25,0,是,否,否,否,是,是,否,是,否,附加服务,否
49,NA,NA,28,21,未完成中学学历,8,是,男,2,是,否,是,否,15.85,24.75,0,8.75,0,否,否,否,否,是,是,是,是,否,附加服务,否
3,64,未婚,3,9,中学学历,6,否,男,1,否,否,否,否,4.95,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
33,36,未婚,NA,NA,研究生学位,10,是,男,1,否,是,否,是,4.15,0,39.1,0,27.05,否,是,否,是,否,否,否,否,是,基础服务,是
38,44,未婚,1,50,大学学位,7,是,女,1,否,是,是,否,7.15,0,24.6,10,0,是,否,否,是,否,否,否,否,是,电子服务,是
42,48,已婚,14,27,社区学院,5,是,女,3,是,是,是,是,16.5,36,54.2,22.75,28.4,是,是,否,否,是,是,是,是,是,总服务,否
11,26,未婚,2,53,社区学院,3,是,男,1,是,是,是,是,4.15,21.5,43.7,11.75,38.8,是,是,是,是,否,是,是,否,是,总服务,是
27,28,已婚,0,58,社区学院,0,是,NA,2,是,否,否,否,5.8,22.5,0,0,0,否,否,否,否,是,是,否,是,否,附加服务,否
23,50,未婚,1,151,大学学位,8,是,女,1,是,否,否,否,8.25,21.75,0,0,0,否,否,否,否,是,否,否,否,否,基础服务,否
4,38,已婚,NA,54,中学学历,4,是,男,2,是,否,是,是,4.75,26.25,0,48.5,24.45,否,是,否,否,是,是,是,是,否,附加服务,否
36,42,未婚,5,31,未完成中学学历,NA,NA,女,1,否,否,否,否,10.05,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
37,42,未婚,10,115,未完成中学学历,22,是,女,1,否,否,是,否,15.1,0,0,18.5,0,否,否,否,否,是,是,是,是,否,附加服务,否
24,58,已婚,30,NA,未完成中学学历,5,是,NA,2,是,否,否,否,7.65,16,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
4,24,未婚,1,17,中学学历,2,是,男,3,否,否,否,否,3.2,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
54,33,未婚,NA,47,中学学历,13,是,女,2,是,否,是,否,13.9,32,0,20.25,0,否,否,否,否,是,是,否,是,否,附加服务,否
7,49,未婚,8,36,未完成中学学历,NA,NA,女,1,是,否,是,否,8.85,19.5,0,53.25,0,否,否,否,否,是,是,是,是,否,附加服务,是
10,28,未婚,NA,75,大学学位,1,是,男,1,是,是,是,是,6.2,27.5,42.4,40,36.3,否,是,是,是,是,是,是,是,是,总服务,是
24,35,已婚,10,NA,研究生学位,6,是,女,2,否,是,否,否,3.3,0,30.3,0,0,是,否,否,是,否,否,否,否,是,电子服务,否
12,31,未婚,NA,18,大学学位,4,是,男,1,否,是,否,否,3.7,0,24.3,0,0,否,否,否,是,否,否,否,否,是,基础服务,是
45,54,未婚,25,171,社区学院,33,是,女,1,是,否,是,否,9.05,18.5,0,8.75,0,否,否,否,否,是,是,是,是,否,附加服务,否
59,55,已婚,29,42,NA,21,是,女,2,否,否,是,否,8.95,0,0,15.25,0,是,否,否,否,否,否,否,否,否,电子服务,否
3,21,已婚,1,36,社区学院,0,是,女,4,否,否,否,否,3.2,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
8,35,未婚,6,31,研究生学位,7,是,男,1,是,是,否,是,4.4,17.25,35.65,0,42.05,是,是,是,是,是,是,是,是,是,总服务,是
16,59,未婚,5,207,中学学历,37,是,女,2,是,否,是,否,7.45,15.5,0,11.75,0,否,否,是,否,否,是,是,是,是,总服务,否
32,33,未婚,1,38,未完成中学学历,12,是,NA,1,否,否,是,否,7.3,0,0,33.75,0,否,否,否,否,否,否,否,否,否,基础服务,否
8,49,未婚,14,134,大学学位,9,是,女,1,是,是,是,是,3,30.5,59.3,23.5,60.3,是,是,是,是,是,是,是,是,是,总服务,是
9,28,NA,8,28,社区学院,4,是,男,3,否,是,否,否,4.5,0,28.5,0,0,是,否,否,是,否,否,否,是,是,电子服务,是
12,19,已婚,0,15,中学学历,0,是,女,4,否,是,否,否,5.85,0,22.15,0,0,是,否,否,否,否,否,否,否,否,电子服务,否
24,43,已婚,NA,48,大学学位,4,是,男,6,是,是,是,是,14.4,25.75,37.2,57.75,36.95,是,是,是,是,是,是,是,是,是,总服务,否
72,75,未婚,48,14,中学学历,NA,否,女,1,否,否,是,否,37.3,0,0,109.25,0,是,否,否,否,否,否,否,否,否,电子服务,否
58,61,未婚,NA,NA,大学学位,18,是,女,NA,否,否,是,否,16.35,0,0,17,0,是,否,否,是,否,否,否,否,否,电子服务,否
70,44,已婚,24,87,中学学历,18,是,男,3,是,否,是,否,18.9,47.5,0,25,0,是,是,否,否,是,是,是,是,否,附加服务,否
9,25,未婚,3,27,未完成中学学历,4,是,女,1,否,否,否,否,12.2,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
49,25,未婚,1,27,研究生学位,0,是,女,1,否,是,是,是,9.9,0,43.15,5.5,26.9,是,是,是,是,否,否,否,否,是,电子服务,否
52,54,NA,7,NA,社区学院,22,是,男,1,是,否,是,是,15.25,32.5,0,21.75,39.3,是,否,否,否,是,是,否,是,否,附加服务,否
10,42,NA,10,294,大学学位,9,是,女,6,是,是,是,是,4.85,27.5,44.35,23.5,36.85,是,是,是,是,是,是,是,是,是,总服务,是
14,52,已婚,2,NA,社区学院,5,是,男,2,否,否,是,是,4.85,0,0,14.25,14.9,否,是,否,否,是,是,否,否,否,附加服务,否
19,27,已婚,3,35,中学学历,4,是,男,6,是,否,是,否,5.4,20.5,0,23,0,否,是,是,否,是,是,是,是,否,总服务,否
12,36,已婚,4,205,大学学位,10,是,女,4,否,是,否,是,5.95,0,38.3,0,32,是,是,是,是,否,否,否,否,是,电子服务,是
65,59,未婚,27,732,社区学院,31,是,女,1,否,否,是,否,10.15,0,0,13.25,0,是,是,否,否,否,否,是,是,是,电子服务,否
67,40,NA,14,59,社区学院,11,是,男,2,是,否,是,否,27,30,0,19.75,0,否,否,否,否,是,是,是,是,否,附加服务,否
29,24,已婚,NA,23,未完成中学学历,7,是,男,2,是,否,是,否,10.2,32.25,0,17.5,0,否,否,否,否,是,是,是,是,否,附加服务,否
55,46,未婚,8,87,中学学历,19,是,女,1,否,是,是,否,17.9,0,28,15.25,0,否,否,否,是,否,否,是,是,是,基础服务,否
71,67,已婚,25,110,未完成中学学历,23,是,女,2,是,否,是,否,33.85,21.75,0,18.25,0,否,否,否,否,否,是,是,是,否,附加服务,否
5,44,已婚,2,NA,社区学院,14,是,女,3,是,否,是,是,4,26.25,0,20.25,21.95,否,是,否,是,是,是,是,是,否,附加服务,是
60,58,未婚,0,NA,大学学位,21,是,女,3,是,是,是,否,16.35,28,23.85,13.25,0,是,否,否,否,否,否,否,否,是,电子服务,否
10,40,未婚,6,22,社区学院,6,是,女,1,否,否,否,否,5.05,0,0,0,0,否,否,否,是,否,否,否,否,否,基础服务,是
52,64,NA,44,NA,社区学院,NA,NA,男,1,是,是,是,是,12.85,28.5,48.75,24,37.15,是,是,是,是,是,是,是,是,否,总服务,否
61,43,已婚,NA,35,中学学历,11,是,男,3,是,否,是,否,21.05,15.5,0,17.25,0,是,否,否,是,否,否,否,否,是,电子服务,否
61,29,已婚,5,48,中学学历,11,是,男,4,否,否,是,否,17.55,0,0,37,0,是,否,否,否,否,否,否,是,否,电子服务,否
67,47,已婚,19,69,社区学院,12,是,男,3,是,否,是,否,49.35,27,0,10.25,0,是,否,否,否,是,是,是,是,否,附加服务,否
41,42,NA,12,26,大学学位,5,是,男,4,否,否,否,否,10.95,0,0,0,0,是,否,否,是,否,否,是,否,否,电子服务,否
30,28,未婚,1,NA,未完成中学学历,8,是,女,1,否,否,否,否,12.4,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
24,46,未婚,12,43,中学学历,6,是,NA,1,是,否,是,是,12.05,48.25,0,33,28.15,否,是,是,否,是,是,是,是,是,总服务,否
72,75,未婚,37,NA,未完成中学学历,44,否,女,1,是,否,是,否,49.3,31.75,0,26,0,是,否,否,否,否,否,否,是,否,电子服务,否
17,35,未婚,NA,66,中学学历,11,是,男,1,否,是,是,是,5.15,0,29.15,11.25,28.05,是,是,是,是,是,否,是,是,是,总服务,是
65,72,未婚,NA,NA,中学学历,0,否,男,1,否,否,是,否,29.6,0,0,18,0,是,否,否,否,否,是,是,是,否,附加服务,否
15,30,已婚,8,90,中学学历,11,是,男,5,是,否,是,是,7.35,18.5,0,9.75,23,否,否,是,是,是,是,是,是,是,总服务,否
34,33,NA,8,35,社区学院,2,是,NA,1,否,否,否,否,7.5,0,0,0,0,是,否,否,否,否,否,否,否,否,电子服务,是
26,43,未婚,23,51,研究生学位,4,是,女,1,否,是,否,否,7.9,0,21.95,0,0,是,否,否,是,否,否,否,否,否,电子服务,是
36,45,未婚,22,117,社区学院,15,是,女,1,否,否,否,否,10.5,0,0,0,0,是,否,否,否,否,否,否,否,是,电子服务,否
NA,48,未婚,29,100,中学学历,26,是,女,1,是,否,是,否,24.4,42.25,0,13.5,0,否,否,否,否,是,是,是,是,否,附加服务,否
16,54,未婚,20,147,未完成中学学历,29,是,男,4,是,否,是,否,6.95,23.25,0,6.5,0,否,否,否,否,是,是,是,是,否,附加服务,否
1,33,未婚,NA,53,大学学位,6,是,女,1,否,否,否,否,1.95,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
56,30,已婚,9,57,研究生学位,2,是,男,4,否,是,是,否,16.85,0,36.7,6.5,0,是,是,否,是,否,否,否,否,是,电子服务,否
6,50,未婚,NA,37,中学学历,0,是,男,1,否,是,否,否,5.35,0,23.55,0,0,是,否,否,否,否,否,否,否,是,电子服务,否
48,34,NA,7,42,社区学院,2,是,女,1,否,否,是,否,14.15,0,0,8,0,是,否,否,否,否,是,否,否,否,电子服务,否
34,36,已婚,NA,50,未完成中学学历,NA,NA,男,2,是,否,是,否,10.2,24.5,0,13.75,0,否,否,否,否,是,是,是,是,否,附加服务,否
54,42,已婚,0,55,大学学位,2,是,男,5,是,是,是,是,14.3,55.5,62.15,19.25,83.7,是,是,是,是,是,是,是,是,是,总服务,是
38,31,已婚,2,NA,中学学历,7,是,女,4,是,否,是,否,10.8,22.25,0,9.25,0,否,是,是,否,是,是,是,是,否,总服务,否
25,55,未婚,15,37,未完成中学学历,7,是,女,1,否,否,否,否,10.95,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
47,69,NA,17,228,社区学院,39,是,女,4,是,是,是,是,10.8,35.5,37.5,21,50.9,是,是,是,是,是,是,是,是,是,总服务,是
72,62,已婚,35,NA,研究生学位,31,是,男,2,是,是,是,是,28.35,32.75,45.15,39.75,56.55,是,是,是,是,是,是,是,是,否,总服务,否
6,35,已婚,6,28,大学学位,3,是,女,3,是,是,是,是,3.25,23,39.35,18.5,30.3,否,否,是,是,是,是,是,是,否,总服务,否
30,51,已婚,9,118,研究生学位,21,是,女,2,否,否,否,否,6.4,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
65,70,已婚,9,NA,中学学历,NA,NA,NA,2,是,否,是,是,26.85,26,0,43,33.75,是,是,否,否,是,是,是,是,是,总服务,否
22,NA,已婚,NA,37,大学学位,1,是,男,2,是,否,是,否,14.3,35.25,0,18.5,0,是,是,否,否,是,是,是,是,否,附加服务,否
60,53,未婚,32,NA,未完成中学学历,28,是,男,1,是,否,是,否,13.35,39.5,0,21,0,否,否,否,否,是,是,是,是,否,附加服务,否
19,32,未婚,12,71,大学学位,5,是,女,1,是,是,是,是,5.25,21.5,62.4,17,47.8,是,是,是,是,是,是,是,是,是,总服务,是
18,25,未婚,4,26,中学学历,7,是,女,3,是,否,是,否,3.3,27.5,0,31,0,否,否,否,否,否,否,否,是,否,基础服务,否
9,37,NA,10,14,大学学位,5,是,女,6,否,是,否,否,2.4,0,25.25,0,0,否,否,否,否,是,否,否,否,否,基础服务,是
1,34,已婚,6,18,未完成中学学历,0,是,女,2,否,否,否,否,1.6,0,0,0,0,否,否,否,是,否,否,否,否,否,基础服务,是
10,28,已婚,NA,36,大学学位,0,是,女,3,是,是,否,是,6.3,19.75,27.35,0,22.65,否,是,是,是,是,是,是,是,是,总服务,否
45,34,已婚,14,43,大学学位,0,是,NA,4,否,是,否,否,6.55,0,32.35,0,0,是,否,否,是,否,否,否,否,是,电子服务,是
25,28,已婚,6,41,大学学位,4,是,女,NA,是,是,是,是,5.8,14.25,33.85,31.5,26.6,否,是,否,否,否,是,是,是,是,附加服务,是
66,39,未婚,1,66,中学学历,15,是,女,1,否,否,是,否,11.6,0,0,11.5,0,是,否,否,否,否,否,否,否,否,电子服务,否
27,67,未婚,1,NA,大学学位,NA,NA,女,1,是,是,是,否,3.6,17.75,32.35,12,0,是,是,否,否,否,是,是,是,否,附加服务,是
19,41,未婚,5,53,大学学位,NA,NA,男,1,否,否,否,否,6.45,0,0,0,0,否,否,否,否,是,否,否,否,否,基础服务,否
17,41,已婚,9,28,大学学位,3,是,男,6,否,否,是,否,1.8,0,0,10,0,否,否,否,否,是,是,否,否,否,基础服务,否
16,36,未婚,13,58,大学学位,4,是,男,1,是,是,否,否,4.85,18,31.75,0,0,否,否,否,否,否,是,是,否,是,基础服务,否
8,42,已婚,NA,129,大学学位,17,是,女,NA,否,否,否,否,6.1,0,0,0,0,否,否,否,是,否,否,否,是,是,基础服务,否
3,25,NA,0,65,大学学位,0,是,女,1,否,是,是,否,3.3,0,34.25,11.25,0,否,是,否,是,是,是,否,是,是,总服务,是
59,57,未婚,26,NA,社区学院,36,是,女,1,否,否,是,否,28.75,0,0,7.5,0,否,否,否,否,否,否,否,否,否,基础服务,否
45,37,NA,2,NA,社区学院,14,是,女,1,否,是,否,否,10.8,0,25,0,0,是,否,否,否,否,否,否,否,是,电子服务,否
66,62,未婚,31,47,中学学历,NA,NA,女,1,是,否,是,否,34.25,21,0,20,0,是,否,否,否,否,否,否,否,否,电子服务,否
28,50,已婚,7,NA,未完成中学学历,3,是,男,2,否,否,是,否,14.85,0,0,13,0,否,否,否,否,否,否,是,否,否,基础服务,否
15,38,NA,11,46,研究生学位,11,是,男,3,否,否,否,否,3.85,0,0,0,0,否,否,否,否,是,否,否,否,否,基础服务,是
39,34,NA,10,51,社区学院,13,是,女,4,是,否,是,是,7.9,78.75,0,35,38.8,否,是,是,否,是,是,是,是,否,总服务,否
